"Planet Name","Pl. Mass","Pl. Radius","Pl. Period","Pl. Semi-axis","Pl. Ecc.","Pl. Incl.","Ang. Dist.","St. Dist","St. Spec. Type","St. Mass","St. [Fe/H]","St. Right Asc.","St. Decli.","St. Mag. V.","St. Mag. I","St. Mag. H","St. Mag. J","St. Mag. K","St. Radius",
"CoRoT-4 b","0.72","1.19","9.20205","0.09","0.0","90",,,"F8V","1.1","0.05","06 48 47","-00 40 22","13.7",,,,,"1.15",
"CoRoT-5 b","0.467","1.388","4.0378962","0.04947","0.09","85.83","0.000124","400","F9V","1","-0.25","06 45 07","+00 48 55","14",,,,,"1.186",
"CoRoT-6 b","2.96","1.166","8.886593","0.0855","0.1","89.07",,,"F9V","1.055","-0.2","18 44 18","+06 39 48","13.9",,,,,"1.025",
"CoRoT-7 b","0.0151","0.15","0.853585","0.0172","0.0","80.1","0.000115","150","K0V","0.93","0.03","06 43 49","-01 03 46","11.7",,,,,"0.87",
"CoRoT-7 c","0.0264",,"3.698","0.046","0.0",,"0.000307","150","K0V","0.93","0.03","06 43 49","-01 03 46","11.7",,,,,"0.87",
"CoRoT-8 b","0.22","0.57","6.21229","0.063","0.0","88.4","0.000166","380","K1V","0.88","0.3","19 26 21","+01 25 36","14.8",,,,,"0.77",
"CoRoT-9 b","0.84","1.05","95.2738","0.407","0.11","89.9","0.000885","460","G3V","0.99","-0.01","18 43 09","+06 12 15","13.7",,,,,"0.94",
"CT Cha b","17","2.2",,"440",,,"2.666667","165","K7",,,"11 04 09","-76 27 19","12.36",,,,,,
"DP Leo b","6.05",,"10230","8.19","0.39",,,,"AM Her","0.69",,"11 17 16","+17 57 41","17.5",,,,,,
"eps Eridani b","1.55",,"2502","3.39","0.702","30.1","1.059375","3.2","K2 V","0.83","-0.1","03 32 55","-09 27 29","3.73",,,,,"0.895",
"eps Tau b","7.6",,"594.9","1.93","0.151",,"0.042889","45","K0 III","2.7","0.17","04 28 37","+19 10 50","3.53",,,,,"13.7",
"Fomalhaut b","3",,"320000","115","0.11",,"14.935065","7.7","A3 V","2.06",,"22 57 39","-29 37 20","1.16",,,,,"1.82",
"gamma 1 Leo b","8.78",,"428.5","1.19","0.144",,"0.030909","38.5","K0III","1.23","-0.49","10 19 58","+19 50 29","2.01",,,,,"31.88",
"gamma Cephei b","1.6",,"902.9","2.044","0.115",,"0.148223","13.79","K2 V","1.4",,"23 39 20","+77 37 56","3.22",,,,,"6.2",
"GJ 1214 b","0.0179","0.246","1.58040482","0.014","0.27","88.8","0.001077","13","M","0.157","0.39","17 15 19","+04 57 50","14.71",,,,,"0.211",
"GJ 3021 b","3.37",,"133.71","0.49","0.511",,"0.027809","17.62","G6 V","0.9","0.2","00 16 12","-79 51 04","6.59",,,,,,
"GJ 317 b","1.2",,"692.9","0.95","0.193",,"0.103599","9.17","M3.5","0.24","-0.23","08 40 59","-23 27 23","12",,"5.9","6.41","5.59",,
"GJ 436 b","0.0737","0.365","2.6438986","0.02887","0.15","85.8","0.00283","10.2","M2.5","0.452","-0.32","11 42 11","+26 42 23","10.68",,,,,"0.464",
"GJ 674 b","0.037",,"4.6938","0.039","0.2",,"0.00859","4.54","M2.5","0.35","-0.28","17 28 40","-46 53 43","9.38",,,,,,
"GJ 676A b","4",,"1000",,,,,"16.1","M0",,,"17 30 11","-51 38 13","9.59",,,,,,
"GJ 832 b","0.64",,"3416","3.4","0.12",,"0.688259","4.94",,"0.45","-0.31","21 33 34","-49 00 32","8.67",,,,,,
"Gj 849 b","0.82",,"1890","2.35","0.06",,"0.267045","8.8","M3.5","0.36",,"22 09 40","-04 38 27","10.42",,,,,"0.52",
"Gl 179 b","0.82",,"2288","2.41","0.21",,"0.195935","12.3","M3.5","0.357","0.3","04 52 06","+06 28 36","11.96",,,,,"0.38",
