"Planet Name","Pl. Mass","Pl. Radius","Pl. Period","Pl. Semi-axis","Pl. Ecc.","Pl. Incl.","Ang. Dist.","St. Dist","St. Spec. Type","St. Mass","St. [Fe/H]","St. Right Asc.","St. Decli.","St. Mag. V.","St. Mag. I","St. Mag. H","St. Mag. J","St. Mag. K","St. Radius",
"HD 38801 b","10.7",,"696.3","1.7","0.0",,"0.017103","99.4","K0IV","1.36","0.26","05 47 59","-08 19 40","8.26",,,,,"2.53",
"HD 39091 b","10.35",,"2063.818","3.29","0.62",,"0.16","20.55","G1 IV","1.1","0.09","05 37 09","-80 28 08","5.67",,,,,"2.1",
"HD 40307 b","0.0132",,"4.3115","0.047","0.0",,"0.003672","12.8","K2.5V",,"-0.31","05 54 04","-60 01 24","7.17",,"4.97","5.41","4.79",,
"HD 40307 c","0.0216",,"9.62","0.081","0.0",,"0.006328","12.8","K2.5V",,"-0.31","05 54 04","-60 01 24","7.17",,"4.97","5.41","4.79",,
"HD 40307 d","0.0288",,"20.46","0.134","0.0",,"0.010469","12.8","K2.5V",,"-0.31","05 54 04","-60 01 24","7.17",,"4.97","5.41","4.79",,
"HD 40979 b","3.32",,"267.2","0.811","0.23",,"0.024","33.3","F8 V","1.08","0.194","06 04 29","+44 15 37","6.74",,,,,"1.21",
"HD 41004 A b","2.54",,"963","1.64","0.39",,"0.038588","42.5","K1 V","0.7","-0.09","05 59 49","-48 14 22","8.65",,,,,,
"HD 41004 B b","18.4",,"1.3283","0.0177","0.081",,"0.000411","43.03","M2","0.4","-0.01","05 59 50","-48 14 23","12.33",,,,,,
"HD 4113 b","1.56",,"526.62","1.28","0.903",,"0.029091","44","G5V","0.99","0.2","00 43 13","-37 58 57","7.88",,,,,,
"HD 4203 b","2.07",,"431.88","1.164","0.519",,"0.015019","77.5","G5","1.06","0.22","00 44 41","+20 26 56","8.68",,,,,"1.33",
"HD 4208 b","0.8",,"829","1.7","0.04",,"0.050147","33.9","G5 V","0.93","-0.24","00 44 26","-26 30 56","7.79",,,,,"0.85",
"HD 4308 b","0.0405",,"15.609","0.118","0.27",,"0.005388","21.9","G5 V","0.83","-0.31","00 44 39","-65 38 58","6.54",,,,,"0.92",
"HD 4313 b","2.3",,"356","1.19","0.041",,"0.008686","137","G5 D","1.72","0.14","00 45 40","+07 50 42","7.83",,,,,"4.9",
"HD 43197 b","0.6",,"327.8","0.92","0.83",,"0.016758","54.9","K0","0.96","0.4","06 13 36","-29 53 50","8.95",,,,,,
"HD 43691 b","2.49",,"36.96","0.24","0.14",,"0.002575","93.2","G0IV","1.38","0.28","06 19 35","+41 05 32","8.03",,,,,,
"HD 44219 b","0.58",,"472.3","1.19","0.61",,"0.023597","50.43","G5","1","0.03","06 20 14","-10 43 30","7.7",,,,,,
"HD 45350 b","1.79",,"890.76","1.92","0.778",,"0.039184","49","G5 IV","1.02","0.29","06 28 45","+38 57 46","7.88",,,,,"1.27",
"HD 45364 b","0.1872",,"226.93","0.6813","0.1684",,"0.020899","32.6","K0V","0.82","-0.17","06 25 38","-31 28 51","8.08",,,,,,
"HD 45364 c","0.6579",,"342.85","0.8972","0.0974",,"0.027521","32.6","K0V","0.82","-0.17","06 25 38","-31 28 51","8.08",,,,,,
"HD 45652 b","0.47",,"43.6","0.23","0.38",,"0.006389","36","G8-K0",,"0.29","06 29 13","+10 56 02","8.1",,,,,,
"HD 46375 b","0.249",,"3.024","0.041","0.04",,"0.001","33.4","K1 IV","0.91","0.24","06 33 12","+05 27 46","7.94",,,,,"1",
"HD 47186 b","0.07167",,"4.0845","0.05","0.038",,"0.001321","37.84","G5V","0.99","0.23","06 36 09","-27 37 20","7.8",,"6.1","6.42","6.01",,
"HD 47186 c","0.35061",,"1353.6","2.395","0.249",,"0.063293","37.84","G5V","0.99","0.23","06 36 09","-27 37 20","7.8",,"6.1","6.42","6.01",,
"HD 47536 b","5",,"430",,"0.2",,,"121.36","K1 III","0.94","-0.68","06 37 47","-32 20 23","5.25",,,,,"23.47",
"HD 47536 c","7",,"2500",,,,,"121.36","K1 III","0.94","-0.68","06 37 47","-32 20 23","5.25",,,,,"23.47",
"HD 48265 b","1.16",,"700","1.51","0.18",,"0.017277","87.4","G5V","0.93","0.17","06 40 02","-48 32 31","8.07",,,,,,
"HD 49674 b","0.115",,"4.9437","0.058","0.23",,"0.001425","40.7","G5 V","1.07","0.25","06 51 30","+40 52 03","8.1",,,,,"0.94",
"HD 50499 b","1.71",,"2582.7","3.86","0.23",,"0.081676","47.26","G IV","1.27","0.23","06 52 02","-33 54 56","7.22",,,,,"1.38",
"HD 50554 b","4.9",,"1279","2.38","0.42",,"0.077","31.03","F8","1.04","-0.07","06 54 42","+24 14 44","6.86",,,,,"1.11",
"HD 52265 b","1.13",,"118.96","0.49","0.29",,"0.017","28","G0 V","1.2","0.11","07 00 18","-05 22 01","6.3",,,,,"1.25",
"HD 5319 b","1.94",,"675","1.75","0.12",,"0.0175","100","G5IV","1.56","0.15","00 55 01","+00 47 22","8.05",,,,,"3.26",
"HD 5388 b","1.96",,"777","1.76","0.4",,"0.033208","53","F6V","1.21","-0.27","00 55 11","-47 24 21","6.8",,,,,,
"HD 59686 b","5.25",,"303","0.911","0.0",,"0.009902","92","K2 III",,,"07 31 48","+17 05 09","5.45",,,,,"11.62",
"HD 60532 b","3.15",,"201.83","0.77","0.278","20","0.029961","25.7","F6IV-V","1.44","-0.26","07 34 03","-22 17 46","4.45",,,,,,
"HD 60532 c","7.46",,"607.06","1.58","0.038","20","0.061479","25.7","F6IV-V","1.44","-0.26","07 34 03","-22 17 46","4.45",,,,,,
"HD 62509 b","2.9",,"589.64","1.69","0.02",,"0.163443","10.34"," K0IIIb","1.86","0.19","07 45 18","+28 01 34","1.15",,,,,"8.8",
"HD 63454 b","0.38",,"2.81782","0.036","0.0",,"0.001006","35.8","K4 V","0.8","0.11","07 39 21","-78 16 44","9.37",,,,,,
"HD 63765 b","0.69",,"356",,,,,"32.6","G9V","0.86","-0.16","07 47 50","-54 15 51","8.1",,,,,,
"HD 6434 b","0.48",,"22.09","0.15","0.3",,"0.004","40.32","G3 IV","1","-0.52","01 04 40","-39 29 17","7.72",,,,,"0.57",
"HD 65216 b","1.21",,"613.1","1.37","0.41",,"0.04","34.3","G5 V","0.92","-0.12","07 53 41","-63 38 50","7.98",,,,,,
"HD 66428 b","2.82",,"1973","3.18","0.465",,"0.057818","55","G5","1.14552","0.31","08 03 28","-01 09 45","8.25",,,,,,
"HD 6718 b","1.56",,"2496","3.56","0.1",,"0.063685","55.9","G5V","0.96","-0.06","01 07 49","-08 14 01","8.45",,,,,"1.02",
"HD 68988 b","1.9",,"6.276","0.071","0.14",,"0.001","58","G0","1.18","0.24","08 18 22","+61 27 38","8.21",,,,,"1.14",
"HD 69830 b","0.033",,"8.667","0.0785","0.1","13","0.00623","12.6","K0V","0.86","-0.05","08 18 23","-12 37 55","5.95",,,,,"0.895",
"HD 69830 c","0.038",,"31.56","0.186","0.13","13","0.014762","12.6","K0V","0.86","-0.05","08 18 23","-12 37 55","5.95",,,,,"0.895",
"HD 69830 d","0.058",,"197","0.63","0.07","13","0.05","12.6","K0V","0.86","-0.05","08 18 23","-12 37 55","5.95",,,,,"0.895",
"HD 70573 b","6.1",,"851.8","1.76","0.4",,"0.038512","45.7","G1-1.5V","1","-0.18","08 22 50","+01 51 34","8.7",,,,,,
"HD 70642 b","2",,"2231","3.3","0.1",,"0.114","29","G5 IV-V","1","0.16","08 21 28","-39 42 19","7.18",,,,,"0.84",
"HD 72659 b","2.96",,"3177.4","4.16","0.2",,"0.080934","51.4","GO V","0.95","-0.14","08 34 03","-01 34 05","7.48",,,,,"1.43",
"HD 73256 b","1.87",,"2.54858","0.037","0.03",,"0.001014","36.5","G8/K0","1.24","0.29","08 36 23","-30 02 15","8.08",,,,,"0.9",
"HD 73267 b","3.06",,"1260","2.198","0.256",,"0.040029","54.91","G5V","0.89","0.03","08 36 18","-34 27 36","8.9",,,,,"1.04",
"HD 73526 b","2.9",,"188.3","0.66","0.19",,"0.006667","99","G6 V","1.02","0.28","08 37 16","-41 19 08","9",,,,,"1.49",
"HD 73526 c","2.5",,"377.8","1.05","0.14",,"0.010606","99","G6 V","1.02","0.28","08 37 16","-41 19 08","9",,,,,"1.49",
"HD 73534 b","1.15",,"1800","3.15","0.046",,"0.032478","96.99","G5IV","1.29","0.16","08 39 16","+12 57 37","8.24",,,,,"2.65",
"HD 74156 b","1.88",,"51.65","0.294","0.64",,"0.004554","64.56","G1V","1.24","0.13","08 42 25","+04 34 41","7.62",,,,,"1.64",
"HD 74156 c","8.03",,"2476","3.85","0.43",,"0.059634","64.56","G1V","1.24","0.13","08 42 25","+04 34 41","7.62",,,,,"1.64",
"HD 74156 d","0.396",,"336.6","1.01","0.25",,"0.015644","64.56","G1V","1.24","0.13","08 42 25","+04 34 41","7.62",,,,,"1.64",
"HD 75289 b","0.42",,"3.51","0.046","0.054",,"0.002","28.94","G0 V","1.05","0.29","08 47 40","-41 44 12","6.35",,,,,"1.25",
"HD 75898 b","2.51",,"418.2","1.19","0.1",,"0.014768","80.58","G0","1.28","0.27","08 53 51","+33 03 25","8.04",,,,,"1.6",
"HD 76700 b","0.197",,"3.971","0.049","0.13",,"0.000821","59.7","G6 V","1","0.14","08 53 55","-66 48 03","8.13",,,,,"1.33",
"HD 7924 b","0.029",,"5.3978","0.057","0.17",,"0.003393","16.8","KOV","0.832","-0.15","01 21 59","+76 42 37","7.185",,,,,"0.78",
"HD 80606 b","3.94","0.921","111.43637","0.449","0.93366","89.285","0.007691","58.38","G5","0.9","0.43","09 22 37","+50 36 13","8.93",,,,,,
"HD 81040 b","6.86",,"1001.7","1.94","0.526",,"0.059582","32.56","G2/G3","0.96","-0.16","09 23 47","+20 21 52","7.72",,,,,,
"HD 81688 b","2.7",,"184.02","0.81","0.0",,"0.009177","88.26","K0III-IV","2.1","-0.359","09 28 40","+45 36 05","5.41",,,,,"13",
"HD 82943 b","1.75",,"441.2","1.19","0.219",,"0.043336","27.46","G0","1.18","0.27","09 34 50","-12 07 46","6.54",,,,,"1.12",
"HD 82943 c","2.01",,"219","0.746","0.359",,"0.027167","27.46","G0","1.18","0.27","09 34 50","-12 07 46","6.54",,,,,"1.12",
"HD 83443 b","0.4",,"2.985625","0.0406","0.008",,"0.000932","43.54","K0 V","0.79","0.33","09 37 11","-43 16 19","8.23",,,,,"1.04",
"HD 8535 b","0.68",,"1313","2.45","0.15",,"0.046667","52.5","G0V","1.13","0.02","01 23 37","-41 16 11","7.7",,,,,"1.19",
"HD 85390 b","0.132",,"788","1.52","0.41",,"0.044759","33.96","K1V","0.76","-0.07","09 50 02","-49 47 25","8.54",,,,,,
"HD 8574 b","2.11",,"227.55","0.77","0.288",,"0.017441","44.15","F8","1.04","-0.09","01 25 12","+28 34 00","7.12",,,,,"1.37",
"HD 86081 b","1.5",,"2.1375","0.039","0.008",,"0.000429","91","F8V","1.21","0.257","09 56 06","-03 48 30","8.73",,,,,"1.22",
"HD 86226 b","1.5",,"1534","2.6","0.73",,"0.061205","42.48","G2V","1.02","-0.04","09 56 30","-24 05 58","7.93",,,,,,
"HD 86264 b","7",,"1475","2.86","0.7",,"0.039394","72.6","F7V","1.42","0.202","09 56 58","-15 53 42","7.42",,,,,"1.88",
"HD 8673 b","14.2",,"1634","3.02","0.723",,"0.078954","38.25","F7 V","1.3",,"01 26 08","+34 34 46","7.57",,,,,,
"HD 87883 b","1.78",,"2754","3.6","0.53",,"0.198895","18.1","K0V","0.82","0.093","10 08 43","+34 14 32","7.57",,,,,"0.76",
"HD 88133 b","0.22",,"3.416","0.047","0.133",,"0.000631","74.5","G5 IV","1.2","0.34","10 10 07","+18 11 12","8.01",,,,,"1.93",
"HD 89307 b","1.78",,"2157","3.27","0.241",,"0.105825","30.9","G0V","1.028","-0.14","10 18 21","+12 37 15","7.06",,,,,"1.05",
"HD 89744 b","7.99",,"256.605","0.89","0.67","54","0.02225","40","F7 V","1.4","0.18","10 22 10","+41 13 46","5.74",,,,,"1.1",
"HD 90156 b","0.057",,"49.77","0.25","0.31",,"0.006313","39.6","G5V","0.84","-0.24","10 23 55","-29 38 44","6.95",,,,,,
"HD 92788 b","3.86",,"325.81","0.97","0.334","8","0.029555","32.82","G5","1.06","0.24","10 42 48","-02 11 01","7.31",,,,,"0.99",
"HD 93083 b","0.37",,"143.58","0.477","0.14",,"0.017","28.9","K3 V","0.7","0.15","10 44 20","-33 34 37","8.3",,,,,,
"HD 9446 b","0.7",,"30.052","0.189","0.2",,"0.003566","53","G5V","1","0.09","01 33 20","+29 15 55","8.35",,,,,"1",
"HD 9446 c","1.82",,"192.9","0.654","0.06",,"0.01234","53","G5V","1","0.09","01 33 20","+29 15 55","8.35",,,,,"1",
"HD 95089 b","1.2",,"507","1.51","0.157",,"0.010863","139","K0 D","1.58","0.05","10 58 48","+01 43 45","7.92",,,,,"4.9",
"HD 9578 b","0.62",,"494",,,,,"57.24","G1V","1.12","0.11","01 33 17","-38 14 42","8.21",,,,,,
"HD 96167 b","0.68",,"498.9","1.3","0.71",,"0.015476","84","G5D","1.31","0.34","11 05 15","-10 17 29","8.09",,,,,"1.86",
"HD 97658 b","0.026",,"9.494","0.0831","0.0",,"0.003938","21.1","K1V","0.85","-0.23","11 14 33","+25 42 37","6.27",,,,,"0.73",
"HD 99109 b","0.502",,"439.3","1.105","0.09",,"0.018264","60.5","K0","0.93","0.315","11 24 17","-01 31 44","9.1",,,,,,
"HD 99492 b","0.109",,"17.0431","0.1232","0.254",,"0.006844","18","K2V","0.83","0.36","11 26 46","+03 00 22","7.38",,,,,"0.96",
"HD 99492 c","0.36",,"4970","5.4","0.106",,"0.3","18","K2V","0.83","0.36","11 26 46","+03 00 22","7.38",,,,,"0.96",
"HIP 12961 b","0.47",,"57",,,,,"23.8","M0",,,"02 46 43","-23 05 12","9.7",,,,,,
"HIP 13044 b","1.25",,"16.2","0.116","0.25",,"0.000165","701","F2","0.8","-2.09","02 47 37","-36 06 27","9.94",,,,,"6.7",
"HIP 14810 b","3.88",,"6.673855","0.0692","0.1427",,"0.001308","52.9","G5","0.99","0.26","03 11 14","+21 05 50","8.52",,,,,"1",
"HIP 14810 c","1.28",,"147.73","0.545","0.164",,"0.010302","52.9","G5","0.99","0.26","03 11 14","+21 05 50","8.52",,,,,"1",
"HIP 14810 d","0.57",,"962","1.89","0.173",,"0.035728","52.9","G5","0.99","0.26","03 11 14","+21 05 50","8.52",,,,,"1",
"HIP 5158 b","1.3",,"344",,,,,"44.8","K5","0.78","0.1","01 06 02","-22 27 11","10.21",,,,,,
"HIP 57050 b","0.298",,"41.397","0.163506","0.314",,"0.014864","11","M4V","0.34","0.32","11 41 45","+42 45 07","11.9",,,,,"0.4",
"HIP 70849 b","5",,"3000",,,,,"24","K7V","0.63",,"14 29 19","-46 27 50","10.4",,,,,,
"HIP 75458 b","8.82",,"510.702","1.275","0.713",,"0.040476","31.5","K2 III","1.05","0.03","15 24 55","+58 57 57","3.31",,,,,"13.5",
"HIP 79431 b","2.1",,"111.7","0.36","0.29",,"0.025","14.4","M3V","0.49","0.4","16 12 42","-18 52 32","11.34",,,,,,
"HR 810 b","1.94",,"311.288","0.91","0.24",,"0.05871","15.5","G0V pecul.","1.11","0.25","02 42 31","-50 48 12","5.4",,,,,"1.85",
"HR 8799 b","7","1.1","170000","68","0.4",,"1.725888","39.4","A5V","1.5","-0.47","23 07 29","+21 08 03","5.96",,,,,,
"HR 8799 c","10","1.3","69000","38","0.4",,"0.964467","39.4","A5V","1.5","-0.47","23 07 29","+21 08 03","5.96",,,,,,
"HR 8799 d","10","1.2","36500","24","0.4",,"0.609137","39.4","A5V","1.5","-0.47","23 07 29","+21 08 03","5.96",,,,,,
"HR 8799 e","9",,"18000","14.5",,,"0.36802","39.4","A5V","1.5","-0.47","23 07 29","+21 08 03","5.96",,,,,,
"HW Vir b","19.2",,"5767","5.3",,,"0.029282","181","sdB+M",,,"12 44 20","-08 40 17","10.9",,,,,,
"HW Vir c","8.5",,"3321","3.62",,,"0.02","181","sdB+M",,,"12 44 20","-08 40 17","10.9",,,,,,
"kappa CrB b","1.8",,"1191","2.7","0.19",,"0.086817","31.1","K1IVa","1.8","0.14","15 51 14","+35 39 27","4.79",,"2.04","3.04","2.42","4.71",
"Kepler-4 b","0.077","0.357","3.21346","0.0456","0.0","89.76","8.3e-05","550","G0","1.223","0.17","19 02 28","+50 08 09","12.7",,,,,"1.487",
"Kepler-5 b","2.114","1.431","3.54846","0.05064","0.0","86.3",,,,"1.374","0.04","19 57 38","+44 02 06",,,,,,"1.793",
"Kepler-6 b","0.669","1.323","3.23423","0.04567","0.0","86.8",,,,"1.209","0.34","19 47 21","+48 14 24",,,,,,"1.391",
"Kepler-7 b","0.433","1.478","4.885525","0.06224","0.0","86.5",,,,"1.347","0.11","19 14 20","+41 05 23",,,,,,"1.843",
"Kepler-8 b","0.603","1.419","3.52254","0.0483","0.0","84.07","3.6e-05","1330",,"1.213","-0.055","18 45 09","+42 27 04","13.9",,,,,"1.486",
"Kepler-9 b","0.252","0.842","19.243158","0.14",,"88.55",,,,"1","0.17","19 02 18","+38 24 03","13.9",,,,,"1.1",
"Kepler-9 c","0.171","0.823","38.90861","0.225",,"88.12",,,,"1","0.17","19 02 18","+38 24 03","13.9",,,,,"1.1",
"Kepler-9 d","0.022","0.147","1.592851","0.0273",,,,,,"1","0.17","19 02 18","+38 24 03","13.9",,,,,"1.1",
"ksi Aql b","2.8",,"136.75","0.68","0.0",,"0.010845","62.7","G9IIIb","2.2","-0.205","19 54 15","+08 27 41","4.72",,"2.37","2.85","2.17","12",
"Lupus-TR-3 b","0.81","0.89","3.91405","0.0464","0.0","88.3",,,"K1V","0.87",,"15 30 19","-42 58 46","17.4",,,,,"0.82",
"MOA-2007-BLG-192-L b","0.01",,,"0.66",,,"0.000943","700","M","0.06",,"18 08 04","-27 09 00",,"19.81",,"19.6",,,
"MOA-2007-BLG-400-L b","0.9",,,"0.85",,,"0.000142","6000",,"0.35",,"18 09 42","-29 13 27",,,,,,,
"MOA-2008-BLG-310-L b","0.23",,,"1.25",,,"0.000208","6000",,"0.67",,"17 54 14","-34 46 41",,,"23.38",,,,
"MOA-2009-BLG-319 b","0.157",,,"2",,,"0.000328","6100","K","0.38",,"18 06 58","-26 49 11",,,,,,,
"mu Ara b","1.676",,"643.25","1.5","0.128",,"0.098039","15.3","G3 IV-V","1.08","0.28","17 44 08","-51 50 02","5.15",,,,,"1.245",
"mu Ara c","0.03321",,"9.6386","0.09094","0.172",,"0.005944","15.3","G3 IV-V","1.08","0.28","17 44 08","-51 50 02","5.15",,,,,"1.245",
"mu Ara d","0.5219",,"310.55","0.921","0.0666",,"0.060196","15.3","G3 IV-V","1.08","0.28","17 44 08","-51 50 02","5.15",,,,,"1.245",
"mu Ara e","1.814",,"4205.8","5.235","0.0985",,"0.342157","15.3","G3 IV-V","1.08","0.28","17 44 08","-51 50 02","5.15",,,,,"1.245",
"NGC 2423 3 b","10.6",,"714.3","2.1","0.21",,"0.002742","766",,"2.4","0.14","07 37 09","-13 54 24","9.45",,,,,,
"NGC 4349 No 127 b","19.8",,"677.8","2.38","0.19",,"0.001094","2176",,"3.9",,"12 24 08","-61 52 18","7.4",,,,,,
"NN Ser (ab) c","6.91",,"5660","5.38","0.0",,"0.01076","500","WD+M","0.646",,"15 52 56","+12 54 47","16.6",,,,,,
"NN Ser (ab) d","2.28",,"2830","3.39","0.2",,"0.00678","500","WD+M","0.646",,"15 52 56","+12 54 47","16.6",,,,,,
"OGLE-05-071L b","3.5",,"3600","3.6",,,"0.001091","3300",,"0.46",,"17 50 09","-34 40 23",,"19.5",,,,,
"OGLE-05-169L b","0.04",,"3300","2.8",,,"0.001037","2700",,"0.49",,"18 06 05","-30 43 57",,"20.4",,,,,
"OGLE-05-390L b","0.017",,"3500","2.1",,,"0.000323","6500","M","0.22",,"17 54 19","-30 22 38",,"15.7",,,,,
"OGLE-06-109L b","0.727",,"1790","2.3",,"64","0.001523","1510",,"0.51",,"17 52 35","-30 05 16",,,"17.17",,,,
"OGLE-06-109L c","0.271",,"4931","4.5","0.15","64","0.00298","1510",,"0.51",,"17 52 35","-30 05 16",,,"17.17",,,,
"OGLE-2007-BLG-368L b","0.0694",,,"3.3",,,,,,,,"17 56 26","-32 14 15",,,,,,,
"OGLE-TR-10 b","0.68","1.72","3.10129","0.04162","0.0","84.5","2.8e-05","1500","G or K","1.18","0.12","17 51 28","-29 52 34",,"14.93",,,,"1.16",
"OGLE-TR-111 b","0.54","1.077","4.01451","0.047","0.0","88.1","3.1e-05","1500","G or K","0.82","0.12","10 53 18","-61 24 20",,"15.55",,,,"0.831",
"OGLE-TR-113 b","1.24","1.11","1.4324772","0.0229","0.0","89.4","1.5e-05","1500","K","0.78","0.14","10 52 24","-61 26 48",,"14.42",,,,"0.77",
"OGLE-TR-132 b","1.17","1.25","1.689868","0.0306","0.0","85","2e-05","1500","F","1.26","0.37","10 50 34","-61 57 25",,"15.72",,,,"1.34",
"OGLE-TR-182 b","1.06","1.47","3.9791","0.051","0.0","85.7",,,,"1.14","0.37","11 09 19","-61 05 43","16.84","15.86","14.9","15.45","14.74","1.14",
"OGLE-TR-211 b","0.75","1.26","3.67724","0.051","0.0","87.2",,,,"1.33","0.11","10 40 15","-62 27 20",,"14.3",,,,"1.64",
"OGLE-TR-56 b","1.3","1.2","1.211909","0.0225","0.0","78.8","1.5e-05","1500","G","1.17",,"17 56 35","-29 32 21","16.6",,,,,"1.32",
"OGLE2-TR-L9 b","4.34","1.614","2.4855335",,,,,"900","F3","1.52","-0.05","11 07 55","-61 08 46",,"13.97","13.25","13.51","13.12","1.53",
"OGLE235-MOA53 b","2.6",,,"5.1",,,"0.000981","5200",,"0.63",,"18 05 16","-28 53 42",,"19.7",,,,,
"PSR 1257+12 b","7e-05",,"25.262","0.19","0.0",,"0.000633","300",,,,"13 00 04","+12 40 56",,,,,,,
"PSR 1257+12 c","0.013",,"66.5419","0.36","0.0186","53","0.0012","300",,,,"13 00 04","+12 40 56",,,,,,,
"PSR 1257+12 d","0.012",,"98.2114","0.46","0.0252","47","0.001533","300",,,,"13 00 04","+12 40 56",,,,,,,
"PSR B1620-26 b","2.5",,"36525","23",,"55","0.006053","3800",,"1.35",,"16 23 38","-26 31 53","24",,,,,,
"rho CrB b","1.04",,"39.845","0.22","0.04",,"0.012622","17.43","G0V or G2V","0.99","-0.24","16 01 03","+33 18 51","5.4",,,,,"1.284",
"SWEEPS-04 ","3.8","0.81","4.2","0.055",,"87","6e-06","8500",,"1.24",,"17 58 54","-29 11 21","18.8",,,,,"1.18",
"SWEEPS-11 ","9.7","1.13","1.796","0.03",,"84","4e-06","8500",,"1.1",,"17 59 03","-29 11 54","19.83",,,,,"1.45",
"tau Boo b","3.9",,"3.3135","0.046","0.018",,"0.003067","15","F7 V","1.3","0.28","13 47 17","+17 27 22","4.5",,,,,"1.331",
"TrES-1 ","0.761","1.099","3.0300722","0.0393","0.0","88.4","0.00025","157","K0V","0.87","0.001","19 04 09","+36 37 57","11.79",,,,,"0.82",
"TrES-2 ","1.253","1.169","2.470614","0.03556","0.0","83.62","0.000162","220","G0V","0.98","-0.15","19 07 14","+49 18 59","11.41",,,,,"1",
"TrES-3 ","1.91","1.305","1.30618608","0.0226","0.0","82.15",,,"G","0.924","-0.19","17 52 07","+37 32 46","12.4",,,,,"0.813",
"TrES-4 ","0.877","1.81","3.553945","0.05091","0.0","82.86","0.000116","440","F","1.384","0.14","17 53 13","+37 12 42","11.592",,,,,"1.81",
